URL of Story,Headline,Media Outlet,Publication Date,Conflicts,Entered by,Pub Status,Internal Notes,Notes,Created
https://www.cnn.com/2018/03/28/politics/emoluments-lawsuit-trump-hotel/index.html,Judge allows lawsuit alleging Trump took illegal foreign gifts,CNN,2018-03-28,"Trump Old Post Office,Trump International Hotel DC",Lynn Walsh,Approved,,,2018-06-12
https://wamu.org/story/18/03/21/summons-issued-trump-emoluments-case/,Summons Issued For Trump In Emoluments Case,WAMU,2018-03-21,"Trump Old Post Office,Trump International Hotel DC",Lynn Walsh,Approved,,,2018-06-12
https://www.bloomberg.com/amp/news/articles/2018-03-13/kushner-conflict-cloud-hovers-over-brooklyn-sale-linked-to-japan,Kushner Conflict Cloud Hovers Over Brooklyn Sale Linked to Japan,Bloomberg,2018-03-13,"Kushner Companies,Nippon Telegraph & Telephone Corp. (NTT),175 Pearl Street,Normandy Real Estate Partners",Lynn Walsh,Approved,,,2018-06-12
http://www.mcclatchydc.com/article204578309.html,Ivanka Trump never cut ties with the Trump Organization. That’s turned into a problem.,McClatchy,2018-03-12,"Trump Organization Inc.,Trump Organization LLC D/B/A The Trump Organization",Lynn Walsh,Approved,,,2018-06-12
https://mobile.nytimes.com/2018/03/10/business/trumps-kushners-hotel-deals.html?referer=https://amp-cnn-com.cdn.ampproject.org/c/s/amp.cnn.com/cnn/2018/03/11/politics/new-york-times-jared-kushner-donald-trump-hotel/index.html,"Out of Public View, Trumps and Kushners Are Talking Business",New York Times,2018-03-10,"Kushner Companies,Trump Organization Inc.,Trump Organization LLC D/B/A The Trump Organization,Pier Village",Lynn Walsh,Approved,,,2018-06-12
https://www.apnews.com/ce4dbdd4446c4862bb9c483425554c67/Trump-officials-fight-eviction-from-Panama-hotel-they-manage,Trump officials fight eviction from Panama hotel they manage,Associated Press,2018-02-24,"Panama Ocean Club Management,Trump Panama Hotel Management,Trump International Hotel And Tower (Panama),Trump Marks Panama,Trump Panama Condominium",Lynn Walsh,Approved,,,2018-06-12
https://www.washingtonpost.com/politics/new-york-files-suit-against-president-trump-alleging-his-charity-engaged-in-illegal-conduct/2018/06/14/c3cbf71e-6fc9-11e8-bd50-b80389a4e569_story.html?utm_term=.4ceb5b79cb06,"New York files civil suit against President Trump, alleging his charity engaged in ‘illegal conduct’",Washington Post,2018-06-14,"Donald J. Trump Foundation,Internal Revenue Service,Federal Election Commission",Heidi Johnson,Approved,,,2018-06-12
https://www.washingtonpost.com/local/public-safety/obscure-no-more-the-emoluments-clause-is-back-again-in-a-federal-court/2018/06/09/cf052832-6a72-11e8-9e38-24e693b38637_story.html?utm_term=.4e5171f2a016,"Trump can profit from foreign government business at his hotel if he doesn’t do favors in return, Justice Dept. argues",Washington Post,2018-06-12,"Trump International Hotel DC,Trump Old Post Office,U.S Department of Justice",Heidi Johnson,Approved,,,2018-06-18
https://www.washingtonpost.com/politics/jared-kushner-and-ivanka-trump-made-at-least-82-million-in-outside-income-last-year-while-serving-in-the-white-house-filings-show/2018/06/11/a41d0720-6dab-11e8-bd50-b80389a4e569_story.html?utm_term=.9b5baa8980b3,"Jared Kushner and Ivanka Trump made at least $82 million in outside income last year while serving in the White House, filings show",Washington Post,2018-06-12,"Trump International Hotel DC,Trump Old Post Office,Quail Ridge,Kushner Companies,Trump Organization Inc.,Trump Organization LLC D/B/A The Trump Organization,Ivanka M. Trump Charitable Fund,Penguin Random House,Vegas Seven,Veggie Grill,666 Fifth Ave",Heidi Johnson,Approved,,,2018-06-18
https://www.washingtonpost.com/politics/congressional-democrats-seek-ruling-against-trump-to-enforce-emoluments-clause/2018/06/07/2469538e-6a55-11e8-bea7-c8eb28bc52b1_story.html?utm_term=.d25a12693375,Congressional Democrats seek ruling against Trump to enforce emoluments clause,Washington Post,2018-06-07,"Trump Old Post Office,Trump International Hotel DC,U.S Department of Justice,Trump Organization Inc.,Trump Organization LLC D/B/A The Trump Organization",Heidi Johnson,Approved,,,2018-06-18
https://www.washingtonpost.com/business/economy/trump-officials-acted-on-energy-policies-suggested-by-coal-tycoon-documents-show/2018/06/06/77685792-69ce-11e8-9e38-24e693b38637_story.html?utm_term=.b0db00dc5295,"Trump officials took actions on energy policies suggested by coal tycoon, documents show",Washington Post,2018-06-06,,Heidi Johnson,To Discuss,"6-19-18 LW: This is an conflict of interest, just is not tied to his business, BUT Murray is a donor. So, do we include? HJ:I would say this conflict is either with Murray Energy, or a campaign donation conflict but couldn't find either on the list.",,2018-06-18
https://www.npr.org/2018/06/12/619101573/ivanka-trump-and-jared-kushner-earned-more-than-80-million-last-year-filings-sho,"Ivanka Trump And Jared Kushner Earned More Than $80 Million Last Year, Filings Show",NPR,2018-06-12,"Trump International Hotel DC,Ivanka Trump brand,Kushner Companies,Trump Organization Inc.,Trump Organization LLC D/B/A The Trump Organization",Heidi Johnson,Approved,,,2018-06-18
https://www.npr.org/2018/06/07/617310039/trump-organization-deals-in-asia-fuel-debate-on-emoluments-lawsuit,Trump Organization Deals In Asia Fuel Debate On Emoluments Lawsuit,NPR,2018-06-07,"Metallurgical Corporation of China (M.C.C.),U.S Department of Justice,Lido City Development,DT Lido Golf Manager,DT Marks Lido,DT Lido Hotel Manager,DT Lido Technical Services Manager,Hary Tanoesoedibjo",Heidi Johnson,Approved,"6-19-18 LW: YEs, added the conflict. HJ: Conflict is with Indonesia hotel development?",,2018-06-18
https://www.npr.org/2018/06/14/620103280/new-york-attorney-general-sues-trump-foundation-and-its-board-of-directors,New York Attorney General Sues Trump Foundation And Its Board Of Directors,NPR,2018-06-14,Donald J. Trump Foundation,Heidi Johnson,Approved,,,2018-06-18
https://www.npr.org/2018/06/15/620230403/legal-defense-funds-for-trump-allies-multiply,Legal Defense Funds For Trump Allies Multiply,NPR,2018-06-15,"""The Patriot Legal Defense Fund Trust, LLC"",U.S Department of Justice,Internal Revenue Service,Office of Government Ethics",Heidi Johnson,Approved,"6-19-18 LW: I am creating this entity right now. HJ: The Patriot Legal Defense (ph) Fund Trust, LLC ",,2018-06-18
https://www.npr.org/2018/06/14/619959270/new-yorks-attorney-general-sues-the-trump-foundation,New York's Attorney General Sues The Trump Foundation,NPR,2018-06-14,"Donald J. Trump Foundation,Internal Revenue Service,Federal Election Commission",Heidi Johnson,Approved,,,2018-06-18
https://www.npr.org/2018/06/14/619974462/n-y-attorney-general-files-suit-against-trump-foundation,N.Y. Attorney General Files Suit Against Trump Foundation,NPR,2018-06-14,"Donald J. Trump Foundation,Internal Revenue Service,Federal Election Commission",Heidi Johnson,Approved,,,2018-06-18
http://www.mcclatchydc.com/news/politics-government/white-house/article210477439.html,"Buyers tied to Russia, former Soviet republics paid $109 million cash for Trump properties",McClatchy,2018-06-19,"Trump Organization Inc.,Trump Tower I,Trump Organization LLC D/B/A The Trump Organization,U.S. Treasury Department,Trump Marks Sunny Isles II,Trump Marks Sunny Isles I,Trump Miami Resort,Trump Tower Managing Member,Trump Tower Condominium,DT Tower I,DT Tower II",Bob Goldstraw,Approved,,,2018-06-19
https://www.nbcnews.com/politics/donald-trump/new-york-attorney-general-sues-trump-foundation-what-might-happen-n883901,New York attorney general sues Trump Foundation: What might happen next,NBC,2018-06-16,"Donald J. Trump Foundation,Internal Revenue Service,Federal Election Commission",Bob Goldstraw,Approved,,,2018-06-19
https://www.nbcnews.com/think/opinion/trump-foundation-lawsuit-highlights-how-private-charities-can-be-used-ncna883516,Trump Foundation lawsuit highlights how private charities can be used as slush funds when no one's looking,NBC,2018-06-15,Donald J. Trump Foundation,Bob Goldstraw,Rejected,"6-19-18 LW: I am going to reject this link since it is an opinion piece. BG: As an opinion piece, maybe this doesn't belong here?",,2018-06-19
https://www.cnn.com/2018/06/14/opinions/new-york-ag-lawsuit-trump-opinion-dantonio/index.html,Trump faces what he's long avoided: being held to account,CNN,2018-06-15,"Donald J. Trump Foundation,Mar-A-Lago Club",Bob Goldstraw,Rejected,6-19-18 LW: Rejected because it is an opinion article.,,2018-06-19
https://www.mcclatchydc.com/news/politics-government/white-house/article213164779.html,Company owned by Chinese government awarded another contract at Trump development,McClatchy,2018-06-14,"Trump World Golf Club Dubai,DAMAC Properties,China State Construction Engineering Corp.",Bob Goldstraw,Approved,,,2018-06-19
https://www.cnn.com/2018/06/11/politics/trump-emoluments-hearing/index.html,Trump admin says Trump can profit from foreign hotel guests,CNN,2018-06-11,"Trump International Hotel DC,Trump Old Post Office,U.S Department of Justice",Bob Goldstraw,Approved,,,2018-06-19
https://edition.cnn.com/2018/06/19/politics/trump-foundation-q-and-a/,Exactly how much trouble is the Trump Foundation in?,CNN,2018-06-19,"Donald J. Trump Foundation,Internal Revenue Service",Bob Goldstraw,Approved,,,2018-06-19
https://www.washingtonpost.com/news/post-politics/wp/2018/02/26/israel-focused-charity-praises-trump-and-pays-him-at-mar-a-lago-gala/?noredirect=on&utm_term=.8e425bfe3d1e,Israel-focused charity praises Trump — and pays him — at Mar-a-Lago gala,Washington Post,2018-02-26,Mar-A-Lago Club,Lynn Walsh,Approved,,,2018-06-19
http://www.foxnews.com/politics/2018/02/21/trump-jr-steals-spotlight-from-canadas-trudeau-as-india-visits-coincide.html,Trump Jr. steals spotlight from Canada's Trudeau as India visits coincide,Fox News,2018-02-20,"DT India Venture,Trump International Hotels Management D/B/A Trump Hotel Collection,Trump International Management,Trump Organization Inc.,Trump Organization LLC D/B/A The Trump Organization",Lynn Walsh,Approved,,,2018-06-19
https://www.washingtonpost.com/world/trump-jr-to-give-foreign-policy-speech-while-on-unofficial-business-trip-to-india/2018/02/19/37d00c37-d9e8-40c4-934b-0a26b8160dcd_story.html?utm_term=.8a66e23946b3,Trump Jr. to give foreign policy speech while on ‘unofficial’ business trip to India,Washington Post,2018-02-19,"Trump Organization Inc.,Trump Organization LLC D/B/A The Trump Organization,DT India Venture,Trump International Hotels Management D/B/A Trump Hotel Collection,Trump International Management",Lynn Walsh,Approved,,,2018-06-19
https://www.bloomberg.com/news/articles/2018-02-15/kushner-investors-said-to-be-subpoenaed-by-u-s-tax-authorities?utm_content=politics&utm_campaign=socialflow-organic&utm_source=twitter&utm_medium=social&cmpid%3D=socialflow-twitter-politics,"Kushner Investors Subpoenaed by U.S. Tax Authorities, Source Says",Bloomberg,2018-02-15,"Kushner Companies,U.S Department of Justice,Internal Revenue Service",Lynn Walsh,Approved,,,2018-06-19
https://www.forbes.com/trump-tenants/#4fcc6c891d32,Landlord-in-Chief,Forbes,2018-02-13,"DT Tower I,DT Tower II,Trump Tower Commercial,Trump Tower Managing Member,Trump Tower I,Trump International Hotel And Tower Condominium,Trump Organization Inc.,Trump Organization LLC D/B/A The Trump Organization",Lynn Walsh,Approved,,,2018-06-19
https://www.fastcompany.com/40526424/trump-organization-revives-project-in-dominican-republic-roiling-local-politics,"Trump Organization Revives Project In Dominican Republic, Roiling Local Politics",Fast Company,2018-02-07,"Trump International Hotels Management D/B/A Trump Hotel Collection,Trump International Management,Cap Cana,Trump Organization Inc.,Trump Organization LLC D/B/A The Trump Organization",Lynn Walsh,Approved,,,2018-06-19
http://www.newsweek.com/if-trump-organization-launches-dominican-republic-projects-it-could-be-grounds-801765,TRUMP ORGANIZATION'S DOMINICAN REPUBLIC PROJECTS COULD BE GROUNDS FOR IMPEACHMENT: EXPERTS,Newsweek,2018-02-10,"Trump Organization Inc.,Trump Organization LLC D/B/A The Trump Organization,Cap Cana,Trump International Hotels Management D/B/A Trump Hotel Collection,Trump International Management",Lynn Walsh,Approved,,,2018-06-19
https://www.cnn.com/2018/02/03/politics/trump-hotel-gsa/index.html,Document shows GSA employees spending at the Trump Hotel in DC,CNN,2018-02-03,"Trump Old Post Office,Trump International Hotel DC,General Services Administration",Lynn Walsh,Approved,,,2018-06-19
https://www.theguardian.com/us-news/2018/feb/04/jared-kushner-property-empire-trump,"Jared Kushner's property empire had to thrive under Trump, right? Wrong",The Guardian,2018-02-04,Kushner Companies,Lynn Walsh,Approved,,,2018-06-19
https://sunlightfoundation.com/2018/02/02/this-week-in-conflicts-of-interest-a-resignation-disclosure-required-and-a-chance-to-meet-donald-trump-jr/,TRUMP INC: A CHRONICLE OF PRESIDENTIAL CONFLICTS,Citizens for Responsibility and Ethics in Washington (CREW),2018-01-25,"Trump Organization Inc.,Trump Organization LLC D/B/A The Trump Organization,Trump Old Post Office,Mar-A-Lago Club,Trump International Hotels Management D/B/A Trump Hotel Collection,Trump International Hotel DC",Lynn Walsh,Approved,"7-15-18 SM: Story said ""Late January"" so I put in 1/25/2018 ",,2018-06-19
https://www.damacproperties.com/en/media-centre/press-releases/damac-awards-infrastructure-works-contract-at-akoya-oxygen-to-cscec-as-construction-spend,DAMAC awards infrastructure works contract at AKOYA Oxygen to CSCEC as construction spend tops AED 5.6 billion,Press Release,2018-06-10,"Trump Organization Inc.,Trump Organization LLC D/B/A The Trump Organization,Trump International Hotels Management D/B/A Trump Hotel Collection,DT Marks Dubai,DT Marks Dubai II,THC Dubai II Hotel Manager,Trump World Golf Club Dubai,DT Dubai Golf Manager,DT Dubai II Golf Manager,Trump Marks Dubai,China State Construction Engineering Corp.,DAMAC Properties",Lynn Walsh,Approved,,,2018-06-19
http://www.mcclatchydc.com/news/politics-government/white-house/article172443417.html,Trump promised not to work with foreign entities. His company just did,McClatchy,2017-09-01,"Trump Organization Inc.,Trump Organization LLC D/B/A The Trump Organization,Trump International Hotels Management D/B/A Trump Hotel Collection,DT Marks Dubai,DT Marks Dubai II,THC Dubai II Hotel Manager,Trump World Golf Club Dubai,DT Dubai Golf Manager,DT Dubai II Golf Manager,Trump Marks Dubai,China State Construction Engineering Corp.,DAMAC Properties",Lynn Walsh,Approved,,,2018-06-27
http://www.constructionweekonline.com/article-49557-cscec-lands-19m-damac-contract-for-dubais-akoya-oxygen/,CSCEC lands $19m Damac contract for Dubai's Akoya Oxygen,Construction Week Online,2018-06-10,"Trump Organization Inc.,Trump Organization LLC D/B/A The Trump Organization,Trump International Hotels Management D/B/A Trump Hotel Collection,DT Marks Dubai,DT Marks Dubai II,THC Dubai II Hotel Manager,Trump World Golf Club Dubai,DT Dubai Golf Manager,DT Dubai II Golf Manager,Trump Marks Dubai,China State Construction Engineering Corp.,DAMAC Properties",Lynn Walsh,Approved,,,2018-06-27
http://money.cnn.com/2018/06/11/news/ivanka-trump-jared-kushner-finances/index.html,"Ivanka Trump and Jared Kushner detail vast wealth: Real estate, fashion and investments ",CNN,2018-06-11,"Kushner Companies,Ivanka Trump brand,Trump Organization Inc.,Trump Organization LLC D/B/A The Trump Organization,Ivanka M. Trump Charitable Fund,Ivanka Trump Business Trust,Westminister Management",Bob Goldstraw,Approved,,,2018-06-27
https://www.mcclatchydc.com/news/nation-world/article213846794.html,The winding money trail from Kazakhstan to Trump SoHo,McClatchy,2018-06-26,"Trump Soho,Trump Organization Inc.",Bob Goldstraw,Approved,,,2018-06-27
https://www.cnn.com/2018/06/28/politics/trump-irs-nominee-charles-rettig/index.html,Trump IRS nominee owns property at Trump-branded hotel,CNN,2018-06-28,"Trump International Hotel Hawaii,Internal Revenue Service",Bob Goldstraw,Approved,,,2018-06-30
https://www.washingtonpost.com/politics/prosecutors-cancel-meeting-with-stormy-daniels/2018/06/25/ff69bdb2-7887-11e8-8df3-007495a78738_story.html?utm_term=.5773519d5874,Prosecutors cancel meeting with Stormy Daniels,Washington Post,2018-06-28,Stephanie Clifford (Aka Stormy Daniels),Heidi Johnson,Approved,,,2018-07-02
https://www.washingtonpost.com/politics/kushners-ties-to-israeli-firms-at-issue-as-he-visits-region-on-peace-mission/2018/06/21/cc3a3438-730c-11e8-9780-b1dd6a09b549_story.html?utm_term=.88424d3f7ac4,Kushner’s ties to Israeli firms are at issue as he visits region on peace mission,Washington Post,2018-06-22,Kushner Companies,Heidi Johnson,Approved,,,2018-07-02
https://www.washingtonpost.com/politics/trump-business-dealings-raises-serious-concerns-ethics-office-says/2018/06/22/b71de20a-7642-11e8-9780-b1dd6a09b549_story.html?utm_term=.6784ef6af365,"Trump business dealings raise ‘serious concerns,’ ethics office says",Washington Post,2018-06-23,"Trump International Development,Metallurgical Corporation of China (M.C.C.),Lido City Development,DT Marks Lido,DT Lido Hotel Manager,DT Lido Golf Manager,DT Lido Technical Services Manager,MNC Group",Heidi Johnson,Approved,,,2018-07-02
https://www.nbcnews.com/politics/donald-trump/news-media-paid-melania-trump-thousands-use-photos-positive-stories-n883111, News media paid Melania Trump thousands for use of photos in 'positive stories only',NBC,2018-07-02,"Melania LLC,Getty Images",Bob Goldstraw,Approved,,,2018-07-02
https://mobile.nytimes.com/2018/06/24/us/politics/trump-challenge-coins.html?hp&action=click&pgtype=Homepage&clickSource=story-heading&module=first-column-region&region=top-news&WT.nav=top-news,Trump Leaves His Mark on a Presidential Keepsake,New York Times,2018-06-24,"Trump Organization Inc.,Trump Organization LLC D/B/A The Trump Organization,Mar-A-Lago Club",Lynn Walsh,Approved,,,2018-07-02
http://www.newsweek.com/ocasio-cortez-impeach-trump-997615?amp=1,Alexandria Ocasio-Cortez Says Donald Trump Should be Impeached Over Emoluments Clause Violations from Day One of his Presidency,Newsweek,2018-06-27,"Trump Organization Inc.,Trump International Hotel DC,Trump International Hotels Management D/B/A Trump Hotel Collection,Trump Old Post Office",Lynn Walsh,Approved,,,2018-07-03
http://www.newsweek.com/donald-trump-irs-nominee-hotel-999627?amp=1,Donald Trump's IRS Nominee Didn't Disclose he Owned Multiple Properties in Trump Hotel,Newsweek,2018-06-28,"Internal Revenue Service,Trump International Hotel Hawaii",Lynn Walsh,Approved,,,2018-07-03
https://mobile.nytimes.com/2018/06/21/business/trumps-kushners-end-hotel-deals.html,Trumps and Kushners Cut Ties on Hotel Deals That Raised Eyebrows,New York Times,2018-06-21,"Trump Organization Inc.,Trump Organization LLC D/B/A The Trump Organization,Kushner Companies,Westminister Management,Scion,American Idea",Lynn Walsh,Approved,,,2018-07-03
https://www.propublica.org/article/political-and-taxpayer-spending-at-trump-properties-16-1-million,We’ve Found $16.1 Million in Political and Taxpayer Spending at Trump Properties,ProPublica,2018-06-27,"Trump Organization Inc.,Trump Organization LLC D/B/A The Trump Organization,Trump International Hotels Management D/B/A Trump Hotel Collection,Tag Air,U.S. Department of Defense,Department of Homeland Security,Trump International Hotel DC,Trump Old Post Office,Mar-A-Lago Club,Trump Tower I,Trump Tower Commercial",Lynn Walsh,Approved,,,2018-07-03
https://www.mcclatchydc.com/news/politics-government/white-house/article214265614.html,Trump lost millions at golf courses in Scotland. U.S. voters weren’t told that,McClatchy,2018-07-13,"Trump Turnberry,Trump Organization Inc.,Mar-A-Lago Club,Trump Scotland,Trump International Golf Links - Scotland,Trump International Golf Club Scotland,Scotland Acquisitions",Bob Goldstraw,Approved,,,2018-07-04
https://www.mcclatchydc.com/news/politics-government/white-house/article215089160.html,Trump developer ignores demands for information on Chinese deal at Dubai development,McClatchy,2018-07-18,"Trump Organization Inc.,Trump World Golf Club Dubai",Bob Goldstraw,Approved,,,2018-07-19
https://www.nytimes.com/2018/07/11/business/jared-kushner-business-washington.html,Kushner’s Firm Deepens Ties to Those With Business in Washington,New York Times,2018-07-11,"Kushner Companies,Brookfield Asset Management",Lynn Walsh,Approved,,,2018-07-19
https://www.washingtonpost.com/amphtml/news/worldviews/wp/2018/07/16/canadas-biggest-clothing-store-just-pulled-ivanka-trumps-brand-from-its-shelves/,One of Canada’s biggest clothing stores just pulled Ivanka Trump’s brand from its shelves,Washington Post,2018-07-16,Ivanka Trump brand,Lynn Walsh,Approved,,,2018-07-19
https://www.washingtonpost.com/amphtml/politics/as-tariffs-near-trumps-business-empire-includes-china-ties/2018/07/05/9bfd1056-7956-11e8-aeee-4d04c8ac6158_story.html,"As tariffs near, Trump’s business empire retains ties to China",Washington Post,2018-07-05,"Trump World Golf Club Dubai,Trump Marks Dubai,DT Dubai Golf Manager,DT Dubai II Golf Manager,THC Dubai II Hotel Manager,DT Marks Dubai,DT Marks Dubai II,Trump Tower Commercial,Trump Tower Managing Member,DT Tower I,China State Construction Engineering Corp.,Metallurgical Corporation of China (M.C.C.),Lido City Development,Ivanka Trump brand",Lynn Walsh,Approved,,,2018-07-19
https://www.npr.org/2018/07/21/631164949/the-value-of-russia-putin-to-trump,"The Value Of Russia, Putin To Trump",NPR,2018-07-21,"Trump Organization Inc.,Trump Organization LLC D/B/A The Trump Organization",Heidi Johnson,Approved,I'm confused about this one. Interviewee wants tax returns to see Russian business ties. LW Note: I am connecting it to Trump Organization since it generically speaks to his overall business dealings.,,2018-07-22
https://www.wnycstudios.org/story/trump-inc-podcast-government-employees-spend-your-money-trump-hotels,Government Employees Spend Your Money at Trump Hotels,ProPublica,2018-06-28,"Trump Old Post Office,Trump International Hotel DC,Mar-A-Lago Club",Heidi Johnson,Approved,,,2018-07-22
https://www.washingtonpost.com/politics/report-trumps-stay-at-his-scotland-resort-cost-68800/2018/07/17/4fce3e28-89ee-11e8-8aea-86e88ae760d8_story.html?utm_term=.6deb586c75f4,"Report: Trump’s stay at his Scotland resort cost $68,800",Washington Post,2018-06-17,Trump Turnberry,Heidi Johnson,Approved,,,2018-07-22
https://www.cnn.com/2018/07/24/politics/ivanka-trump-brand-company/index.html,Ivanka Trump to shut down fashion company,CNN,2018-07-24,"Trump Organization Inc.,Ivanka Trump brand",Bob Goldstraw,Approved,,,2018-07-22
https://www.cnn.com/2018/07/25/politics/emoluments-case-donald-trump-washington-dc/index.html,Judge allows case alleging illegal foreign gifts to proceed against President,CNN,2018-07-25,"Trump Organization Inc.,Trump International Hotel DC,Trump Old Post Office",Bob Goldstraw,Approved,,,2018-07-26
https://www.washingtonpost.com/politics/federal-judge-allows-emoluments-case-against-trump-to-proceed/2018/07/25/c8070206-8fa4-11e8-8322-b5482bf5e0f5_story.html?utm_term=.0773c88e9386,Federal judge allows emoluments case against Trump to proceed,Washington Post,2018-07-25,"Trump Organization Inc.,Trump International Hotel DC,Trump Old Post Office",Heidi Johnson,Approved,,,2018-07-26
https://www.npr.org/2018/07/25/632300960/federal-lawsuit-against-president-trumps-business-interests-allowed-to-proceed,Federal Lawsuit Against President Trump's Business Interests Allowed To Proceed,NPR,2018-07-25,"Trump Organization Inc.,Trump International Hotel DC,Trump Old Post Office",Heidi Johnson,Approved,,,2018-07-26
https://www.washingtonpost.com/politics/trump-has-embraced-the-big-money-donor-world-he-once-shunned/2018/06/30/0ef53478-7630-11e8-9780-b1dd6a09b549_story.html?utm_term=.8ace1c62b560,Trump has embraced the big-money donor world he once shunned,Washington Post,2018-07-02,"Trump International Hotel DC,Trump Old Post Office",Heidi Johnson,Approved,,,2018-07-26
https://www.theatlantic.com/amp/article/566051/,A Crack in the Ivanka Trump Brand,The Atlantic,2018-07-25,"Ivanka Trump brand,Trump Organization Inc.,Trump Organization LLC D/B/A The Trump Organization",Lynn Walsh,Approved,,,2018-07-27
https://www.businessinsider.com/ivanka-trump-closing-fashion-business-ethics-experts-respond-2018-7,Ethics experts 'underwhelmed' at Ivanka Trump shuttering her fashion business — and wonder what she'll do about her stake in the Trump Organization,Business Insider,2018-07-24,"Ivanka Trump brand,Trump Organization Inc.,Trump Organization LLC D/B/A The Trump Organization",Lynn Walsh,Approved,,,2018-07-27
https://www.wsj.com/articles/trump-organization-finance-chief-called-to-testify-before-federal-grand-jury-1532622947?mod=e2twp,Trump Organization Finance Chief Called to Testify Before Federal Grand Jury,Wall Street Journal,2018-07-26,"Trump Organization Inc.,Trump Organization LLC D/B/A The Trump Organization",Lynn Walsh,Approved,,,2018-07-27
https://www.nytimes.com/2018/07/26/business/ken-kurson-jared-kushner.html,A Kushner Ally Was Up for a Federal Post. Then the F.B.I. Began Digging.,New York Times,2018-07-26,"National Endowment for the Humanities,FBI,The New York Observer",Lynn Walsh,Approved,,,2018-07-27
https://www.washingtonpost.com/business/2018/07/30/trump-intervenes-fbi-headquarters-project/?utm_term=.75781ffbd5ab,Trump intervenes in FBI headquarters project,Washington Post,2018-07-30,"Trump International Hotel DC,Trump Old Post Office,FBI,General Services Administration",Heidi Johnson,Approved,,,2018-07-27
https://www.washingtonpost.com/news/morning-mix/wp/2018/07/27/trumps-emoluments-battle-how-a-scholars-journey-through-200-years-of-dictionaries-helped-win-a-historic-ruling/?utm_term=.25bb86879b9b,Trump’s ‘emoluments’ battle: How a scholar’s search of 200 years of dictionaries helped win a historic ruling,Washington Post,2018-07-27,"Trump International Hotel DC,Trump International Development,Trump Organization Inc.,Trump Organization LLC D/B/A The Trump Organization",Heidi Johnson,Approved,"I feel like this article should be in here, just not entirely sure.  Amazing article though!",,2018-08-01
https://www.washingtonpost.com/politics/at-president-trumps-hotel-in-new-york-revenue-went-up-this-spring--thanks-to-a-visit-from-big-spending-saudis/2018/08/03/58755392-9112-11e8-bcd5-9d911c784c38_story.html?utm_term=.3a97c3f2cf0f,"At President Trump’s hotel in New York, revenue went up this spring — thanks to a visit from big-spending Saudis",Washington Post,2018-08-03,"Trump International Hotels Management D/B/A Trump Hotel Collection,Trump Tower Condominium,Trump Tower Commercial,Trump Tower Managing Member,Trump Organization Inc.,Trump Organization LLC D/B/A The Trump Organization",Heidi Johnson,Approved,,,2018-08-01
https://money.cnn.com/2018/08/03/news/companies/kushner-666-fifth-avenue-brookfield/index.html,Kushner Companies offloads troubled 666 Fifth Avenue flagship,CNN,2018-08-03,"Kushner Companies,Brookfield Asset Management",Lynn Walsh,Approved,,,2018-08-04
https://abcnews.go.com/amp/Business/wireStory/trumps-scottish-resort-expand-raising-ethics-concerns-56822706,"Trump's Scottish resort to expand, raising ethics concerns",ABC News,2018-07-25,"Trump International Development,Trump International Golf Links - Scotland,Trump Organization Inc.,Trump Organization LLC D/B/A The Trump Organization",Lynn Walsh,Approved,,,2018-08-04
https://amp.fastcompany.com/90178695/how-trumps-dc-hotel-works-to-help-swamp-the-drain,How Trump’s D.C. hotel works to help swamp the drain,Fast Company,2018-07-05,"Trump International Hotel DC,Trump Old Post Office",Lynn Walsh,Approved,,,2018-08-04
https://www.businessinsider.com/ivanka-trump-store-permanently-shut-down-2018-8,Ivanka Trump's only store shut down overnight and transformed into a Trump-branded store,Business Insider,2018-08-01,Ivanka Trump brand,Lynn Walsh,Approved,,,2018-08-04
http://fortune.com/2018/07/27/who-is-allen-weisselberg-trump-finance-chief/,Who Is Allen Weisselberg? The Trump Organization CFO Has Been Called to Testify in the Michael Cohen Probe,Fortune,2018-07-27,"Trump Organization Inc.,Trump Organization LLC D/B/A The Trump Organization",Lynn Walsh,Approved,,,2018-08-04
https://www.nbcnews.com/politics/donald-trump/trump-s-d-c-hotel-clubhouse-his-fans-may-also-n898041,"Trump Effect Trump's D.C. hotel, a clubhouse for his fans, may also be a 5-star conflict of interest",NBC,2018-08-08,"Trump Old Post Office,Trump International Hotel DC,Trump Organization Inc.,Trump Organization LLC D/B/A The Trump Organization,U.S. Department of Defense,Internal Revenue Service,General Services Administration,U.S. Department of Agriculture,U.S. Treasury Department",Bob Goldstraw,Approved,,,2018-08-08
https://www.today.com/video/is-dc-s-trump-international-hotel-a-conflict-of-interest-for-the-president-1294601283992,Is DC's Trump International hotel a conflict of interest for the president?,NBC,2018-08-08,"Trump International Hotel DC,Trump Old Post Office,Trump Organization Inc.,Trump Organization LLC D/B/A The Trump Organization,U.S. Department of Defense,U.S. Department of Agriculture,U.S. Treasury Department,General Services Administration,Internal Revenue Service",Bob Goldstraw,Approved,,,2018-08-08
https://money.cnn.com/2018/08/03/news/companies/kushner-666-fifth-avenue-brookfield/index.html,Kushner Companies offloads troubled 666 Fifth Avenue flagship,CNN,2018-08-03,"Kushner Companies,666 Fifth Ave,Brookfield Asset Management",Lynn Walsh,Approved,,,2018-08-08
